searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Transformation_Mask_Japanese_Booster_Box.html,55,5.5,542.88,186.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-da168f5b-c995-4b2d-8962-1e2bf9a5f600
Crimson Haze Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Crimson_Haze_Japanese_Booster_Box.html,36,55.5,149.99,72.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-71d9b7e8-3059-46e0-a03e-49a212b53cef
Wild Force Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Wild_Force_Japanese_Booster_Box.html,28,59.99,184.99,99.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f480098c-95b1-4ea7-8c02-497a968a5740
Cyber Judge Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Cyber_Judge_Japanese_Booster_Box.html,23,71.0,184.99,107.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-83398ae4-90ab-49fe-8972-6ee6ee17b042
Shiny Treasure ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shiny_Treasure_ex_Japanese_Booster_Box.html,19,48.39,149.75,73.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-03b0c80c-b61d-42c5-8726-95174397f1ad
Future Flash Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Future_Flash_Japanese_Booster_Box.html,36,31.0,162.5,61.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-738d4295-3abc-4ea0-b617-c38093d4a90a
Ancient Roar Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ancient_Roar_Japanese_Booster_Box.html,47,26.0,128.68,52.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eb070d4e-1380-4644-af6a-d02998ce6e68
Raging Surf Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Raging_Surf_Japanese_Booster_Box.html,29,38.0,154.99,74.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6d66b625-2670-43eb-9389-917dd2a50f13
Ruler of the Black Flame Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ruler_of_the_Black_Flame_Japanese_Booster_Box.html,20,55.98,161.97,74.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2e4173ec-86aa-4699-ac11-f6efda5a6358
Pokemon 151 Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Pokemon_151_Japanese_Booster_Box.html,30,137.89,419.99,206.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-41b5a45c-2ee7-4023-8916-de3230ac8470
Clay Burst Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Clay_Burst_Japanese_Booster_Box.html,22,89.0,259.97,122.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a54a85f8-7665-490d-adc3-4c093d0a31d3
Snow Hazard Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Snow_Hazard_Japanese_Booster_Box.html,18,64.99,251.89,113.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b6b59e10-56de-46a6-a3be-9cb1ff63d0c7
Triplet Beat Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Triplet_Beat_Japanese_Booster_Box.html,23,52.0,160.0,81.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9326d970-10ef-4824-93a9-65f900087749
Violet ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Violet_ex_Japanese_Booster_Box.html,9,59.99,161.82,81.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-98291875-ff9a-429d-9047-aec9b4178bab
Scarlet ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Scarlet_ex_Japanese_Booster_Box.html,9,59.99,164.78,88.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-63e60890-720f-4ad1-b87e-c7bb19416f50
VSTAR Universe Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VSTAR_Universe_Japanese_Booster_Box.html,22,69.0,167.5,92.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-98842457-ef15-45ab-a4bb-4d60679efb0b
Paradigm Trigger Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Paradigm_Trigger_Japanese_Booster_Box.html,36,66.01,180.19,96.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-938c3d9d-f82e-47af-9045-7b2d90b38857
Incandescent Arcana Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Incandescent_Arcana_Japanese_Booster_Box.html,16,84.0,201.51,113.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-33d57598-ae3b-46e5-9f3d-eeb069c85ac0
Lost Abyss Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Lost_Abyss_Japanese_Booster_Box.html,16,141.54,359.88,181.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-68bef228-9ece-491a-adb5-562f5d2b94fc
Pokemon GO Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Pokemon_GO_Japanese_Booster_Box.html,18,50.0,99.99,65.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-73cfe87f-782d-4130-943d-59976c70e56f
Dark Phantasma Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Dark_Phantasma_Japanese_Booster_Box.html,30,59.82,181.36,77.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-be082fc9-ad27-4238-bf9b-679b0855025b
Time Gazer Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Time_Gazer_Japanese_Booster_Box.html,59,3.75,1151.69,165.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-34a167cf-9d75-41c6-a048-e57e5d903dff
Space Juggler Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Space_Juggler_Japanese_Booster_Box.html,10,62.0,184.87,97.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7dc3546a-9889-4bf7-b36b-9242ab59aafa
Battle Region Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Battle_Region_Japanese_Booster_Box.html,15,62.96,218.5,113.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3ee09d94-8374-415e-bc30-fe970dcd608e
Star Birth Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Star_Birth_Japanese_Booster_Box.html,19,75.99,135.29,94.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2e99f98d-3b1a-40ed-8ceb-5336b6b6a226
VMAX Climax Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VMAX_Climax_Japanese_Booster_Box.html,20,119.65,323.8,146.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-23bb779a-0a5f-423b-a498-ade3170cd291
25th Anniversary Collection Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/25th_Anniversary_Collection_Japanese_Booster_Box.html,23,83.33,179.8,118.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0dfb50ff-c571-4882-a82b-05ceaaedea5f
Fusion Arts Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Fusion_Arts_Japanese_Booster_Box.html,11,119.95,225.0,140.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b5d5d519-4f7b-4ad8-9711-3f46dbffc5b8
Blue Sky Stream Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Blue_Sky_Stream_Japanese_Booster_Box.html,29,350.0,499.0,413.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4719955c-850e-41a2-8806-05459184803f
Skyscraping Perfection Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Skyscraping_Perfection_Japanese_Booster_Box.html,57,4.99,1042.0,179.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-17083d6c-ca64-4079-88a8-7badefde8b49
Eevee Heroes Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Eevee_Heroes_Japanese_Booster_Box.html,30,415.0,588.23,450.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0a33354f-0093-431c-ad45-d0505a63ed2a
Jet Black Spirit Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Jet_Black_Spirit_Japanese_Booster_Box.html,8,109.25,252.0,158.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7c0df470-63b8-4812-a808-9b148fe52192
Silver Lance Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Silver_Lance_Japanese_Booster_Box.html,9,81.86,210.0,124.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-70fb5bd7-e047-442a-9e0a-e86fc3998332
Peerless Fighters Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Peerless_Fighters_Japanese_Booster_Box.html,51,5.5,1105.0,180.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-92477c9f-b277-486a-b897-06a07cb20023
Rapid Strike Master Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Rapid_Strike_Master_Japanese_Booster_Box.html,16,123.16,302.27,186.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d6c851c6-856f-4f6b-a252-7e54536e3fb8
Single Strike Master Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Single_Strike_Master_Japanese_Booster_Box.html,11,104.58,302.27,179.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-15b4fb70-a535-4758-ad50-9d76d212db1f
Shiny Star V Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shiny_Star_V_Japanese_Booster_Box.html,37,72.0,950.0,155.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1ffa3a59-60b7-42af-8618-06b0753b0870
Amazing Volt Tackle Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Amazing_Volt_Tackle_Japanese_Booster_Box.html,17,65.0,142.97,99.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-576cd002-3538-4993-843b-ddf752e38c54
Legendary Heartbeat Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Legendary_Heartbeat_Japanese_Booster_Box.html,13,108.0,135.5,122.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2cd6db58-5e15-4615-b4e6-87abd887853e
Infinity Zone Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Infinity_Zone_Japanese_Booster_Box.html,62,2.25,1545.51,157.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-532569c2-0c17-4259-bddf-d4421f03eab7
Explosive Walker Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Explosive_Walker_Japanese_Booster_Box.html,59,5.5,410.0,123.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-aaf63282-d5ae-4341-8f87-5fa779318ddf
Rebellion Crash Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Rebellion_Crash_Japanese_Booster_Box.html,59,5.5,1042.0,148.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-24020bdc-5061-45e3-b388-e520b97c7b73
VMAX Rising Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VMAX_Rising_Japanese_Booster_Box.html,20,120.13,230.0,151.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b155a7f4-0e50-44c2-ac5b-81053d1486f4
Sword Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Sword_Japanese_Booster_Box.html,12,70.0,440.0,135.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-137a73f4-bea3-4a1a-882f-dcc8f15abf3c
Shield Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shield_Japanese_Booster_Box.html,13,70.0,164.99,105.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3d6350db-d317-4ee1-a9cd-8cec57cecfde
